question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_n_past,kv_n_ctx,kv_peak_occupancy
0,Qwen2.5-VL-3B,39.14,4062.73,264.79,4327.52,4.361,124,3,127,0,Rural,urban,Is it a rural or an urban area,1.29,5.36,6.41,50.6,27.40,0.2210,9.1350,0.2158,5439,2181,117,0,8192,0.0
1,Qwen2.5-VL-3B,,695.59,83.42,779.01,0.805,121,2,123,1,Yes,yes,Is there a water area?,4.94,6.88,11.43,51.2,9.07,0.0750,4.5366,0.0738,5661,1959,163,0,8192,0.0
2,Qwen2.5-VL-3B,,662.16,296.13,958.29,0.988,122,5,127,0,1000,5524,What is the amount of buildings?,5.69,7.30,12.58,51.5,11.24,0.0922,2.2488,0.0885,5742,1878,242,0,8192,0.0
3,Qwen2.5-VL-3B,,583.30,143.26,726.57,0.758,126,3,129,0,10,82,What is the number of commercial buildings in the image?,6.33,6.99,14.17,51.7,9.93,0.0788,3.3089,0.0770,5756,1864,242,0,8192,0.0
4,Qwen2.5-VL-3B,,574.10,67.40,641.50,0.668,122,2,124,1,Yes,yes,Is there a small water area?,6.41,6.99,14.26,51.7,8.55,0.0701,4.2774,0.0690,5763,1857,242,0,8192,0.0
5,Qwen2.5-VL-3B,,644.98,298.44,943.42,0.970,123,5,128,0,1000,5380,What is the amount of residential buildings?,6.47,6.84,14.45,52.1,13.01,0.1058,2.6018,0.1016,5771,1849,242,0,8192,0.0
6,Qwen2.5-VL-3B,,581.36,65.98,647.34,0.672,120,2,122,1,Yes,yes,Is a building present?,6.12,6.76,14.16,52.2,8.52,0.0710,4.2590,0.0698,5774,1846,242,0,8192,0.0
7,Qwen2.5-VL-3B,,633.90,77.35,711.25,0.732,121,2,123,1,Yes,yes,Is there a residential building?,6.48,6.72,14.65,52.2,10.28,0.0849,5.1382,0.0835,5782,1838,242,0,8192,0.0
8,Qwen2.5-VL-3B,,587.28,218.81,806.09,0.833,125,4,129,0,100,1064,What is the amount of roads in the image?,6.41,6.80,14.41,52.5,11.50,0.0920,2.8754,0.0892,5787,1833,242,0,8192,0.0
9,Qwen2.5-VL-3B,,609.93,69.51,679.44,0.703,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,5.99,6.79,13.88,52.9,9.66,0.0779,4.8306,0.0767,5797,1823,242,0,8192,0.0
10,Qwen2.5-VL-3B,,583.92,64.94,648.85,0.676,120,2,122,1,Yes,yes,Is there a road?,6.28,6.79,14.17,52.8,8.48,0.0707,4.2400,0.0695,5803,1817,242,0,8192,0.0
11,Qwen2.5-VL-3B,,635.31,67.26,702.57,0.727,122,2,124,1,Yes,yes,Are there less roads than buildings?,6.54,6.84,14.74,52.7,10.33,0.0846,5.1627,0.0833,5809,1811,242,0,8192,0.0
12,Qwen2.5-VL-3B,,585.94,77.14,663.08,0.690,124,2,126,1,Yes,yes,Is there a commercial building in the image?,6.25,6.68,14.30,52.9,8.61,0.0694,4.3050,0.0683,5818,1802,242,0,8192,0.0
13,Qwen2.5-VL-3B,,655.27,219.37,874.64,0.900,123,4,127,0,100,258,What is the amount of grass areas?,6.43,6.76,14.59,53.1,11.69,0.0950,2.9220,0.0920,5821,1799,242,0,8192,0.0
14,Qwen2.5-VL-3B,,595.43,77.24,672.67,0.694,122,2,124,1,Yes,yes,Are there more buildings than roads?,6.18,6.56,14.37,53.1,8.64,0.0709,4.3223,0.0697,5827,1793,241,0,8192,0.0
15,Qwen2.5-VL-3B,,656.11,142.37,798.47,0.824,122,3,125,0,10,44,How many village greens are there?,6.36,6.68,14.53,53.3,11.64,0.0954,3.8789,0.0931,5825,1795,248,0,8192,0.0
16,Qwen2.5-VL-3B,,575.61,68.17,643.78,0.669,123,2,125,1,Yes,yes,Are there less grass areas than buildings?,5.97,6.67,13.88,53.4,8.36,0.0680,4.1794,0.0669,5833,1787,248,0,8192,0.0
17,Qwen2.5-VL-3B,,568.81,216.89,785.70,0.811,123,4,127,0,100,19,How many medium residential buildings are there?,6.27,6.79,14.17,53.5,11.35,0.0923,2.8386,0.0894,5835,1785,248,0,8192,0.0
18,Qwen2.5-VL-3B,,613.37,67.11,680.48,0.706,125,2,127,1,Yes,yes,Is a circular grass area present in the image?,5.94,6.76,13.77,53.5,9.62,0.0769,4.8090,0.0757,5840,1780,248,0,8192,0.0
19,Qwen2.5-VL-3B,,575.66,68.36,644.02,0.669,123,2,125,0,2,27,What is the amount of pitchs?,6.29,6.71,14.22,53.8,8.55,0.0695,4.2767,0.0684,5847,1773,248,0,8192,0.0
20,Qwen2.5-VL-3B,,624.73,76.91,701.63,0.726,121,2,123,1,Yes,yes,Is there a village green?,6.53,6.80,14.66,53.8,10.28,0.0850,5.1412,0.0836,5853,1767,248,0,8192,0.0
21,Qwen2.5-VL-3B,,588.46,76.42,664.88,0.692,125,2,127,1,Yes,yes,Is a large commercial building present in the image?,6.24,6.76,14.24,54.0,8.53,0.0682,4.2649,0.0672,5858,1762,248,0,8192,0.0
22,Qwen2.5-VL-3B,,634.56,77.21,711.77,0.741,123,2,125,0,1,42,What is the number of water areas?,6.50,6.68,14.75,53.9,10.34,0.0841,5.1694,0.0827,5863,1757,248,0,8192,0.0
23,Qwen2.5-VL-3B,,608.33,64.73,673.06,0.696,128,2,130,1,No,no,Is the number of buildings equal to the number of water areas?,6.14,6.63,14.11,54.1,8.48,0.0662,4.2388,0.0652,5871,1749,248,0,8192,0.0
24,Qwen2.5-VL-3B,,644.82,77.39,722.21,0.750,121,2,123,1,Yes,yes,Is there a small road?,6.57,6.75,14.77,54.3,10.37,0.0857,5.1859,0.0843,5876,1744,248,0,8192,0.0
25,Qwen2.5-VL-3B,,582.91,68.15,651.05,0.676,121,2,123,1,No,no,Is there a rectangular road?,6.26,6.72,14.28,54.5,8.53,0.0705,4.2626,0.0693,5876,1744,248,0,8192,0.0
26,Qwen2.5-VL-3B,,627.70,220.50,848.20,0.879,122,4,126,0,100,1064,How many small roads are there?,6.49,6.72,14.70,54.3,11.76,0.0964,2.9401,0.0933,5879,1741,250,0,8192,0.0
27,Qwen2.5-VL-3B,,602.96,77.01,679.97,0.705,129,2,131,1,No,no,Is the number of residential buildings equal to the number of medium roads?,6.23,6.64,14.35,54.6,10.03,0.0777,5.0147,0.0766,5887,1733,250,0,8192,0.0
28,Qwen2.5-VL-3B,,582.50,66.47,648.97,0.677,124,2,126,1,Yes,yes,Are there more roads than rectangular water areas?,6.15,6.71,14.13,54.7,8.47,0.0683,4.2330,0.0672,5891,1729,250,0,8192,0.0
29,Qwen2.5-VL-3B,,631.36,144.32,775.67,0.803,123,3,126,0,10,2,How many circular residential buildings are there?,6.47,6.68,14.74,54.7,11.82,0.0961,3.9396,0.0938,5890,1730,255,0,8192,0.0
30,Qwen2.5-VL-3B,,569.52,66.82,636.34,0.666,121,2,123,1,Yes,yes,Is there a grass area?,5.96,6.71,13.80,55.1,8.29,0.0685,4.1464,0.0674,5895,1725,255,0,8192,0.0
31,Qwen2.5-VL-3B,,602.21,376.01,978.23,1.005,122,6,128,0,10000,117,What is the amount of forests?,6.17,6.90,13.97,55.0,13.97,0.1145,2.3287,0.1092,5900,1720,255,0,8192,0.0
32,Qwen2.5-VL-3B,,573.31,230.07,803.37,0.831,123,4,127,0,100,19,How many rectangular commercial buildings are there?,6.16,6.67,14.27,55.2,11.47,0.0932,2.8664,0.0903,5904,1716,255,0,8192,0.0
33,Qwen2.5-VL-3B,,572.76,77.69,650.46,0.674,120,2,122,1,Yes,yes,Is a forest present?,6.04,6.63,14.09,55.3,8.48,0.0707,4.2419,0.0695,5912,1708,255,0,8192,0.0
34,Qwen2.5-VL-3B,,568.01,217.76,785.78,0.819,123,4,127,0,100,498,How many farmlands are there?,6.24,6.83,14.15,55.5,11.37,0.0925,2.8433,0.0896,5917,1703,255,0,8192,0.0
