Question ID,Model,Model Load Time (s),Prefill Time (ms),Decode Time (ms),Total Compute Time (ms),Latency (s),Input Tokens,Output Tokens,Total Tokens,Correct,Model Response,Ground Truth,Question,Avg GPU+CPU Power (W),Max GPU+CPU Power (W),Avg Board Power (W),Max GPU Temp (C),Total Energy (J),Energy per Input Token (J),Energy per Output Token (J),Energy per Total Token (J),RAM Used (MB),RAM Free (MB),Swap Used (MB),KV Active Tokens,KV Active Ratio,Prompt Cache Entries,Prompt Cache Size (MB),Prompt Cache Limit (MB)
0,Qwen2.5-VL-3B,41.74,2687.33,218.82,2906.15,2.950,124,3,127,0,Rural,urban,Is it a rural or an urban area,2.02,4.43,7.31,55.1,21.14,0.1705,7.0455,0.1664,5291,2316,435,127,0.0039,0,0.000,0
1,Qwen2.5-VL-3B,,720.74,73.79,794.53,0.811,121,2,123,1,Yes,yes,Is there a water area?,4.62,5.28,11.20,55.1,8.97,0.0741,4.4849,0.0729,5565,2042,474,37,0.0011,0,0.000,0
2,Qwen2.5-VL-3B,,754.93,279.77,1034.70,1.050,122,5,127,0,1000,5524,What is the amount of buildings?,4.73,5.28,11.25,55.2,11.19,0.0917,2.2380,0.0881,5626,1981,492,129,0.0039,0,0.000,0
3,Qwen2.5-VL-3B,,701.59,144.13,845.72,0.862,126,3,129,0,10,82,What is the number of commercial buildings in the image?,5.01,5.32,11.82,55.3,9.42,0.0748,3.1416,0.0731,5627,1980,492,129,0.0039,0,0.000,0
4,Qwen2.5-VL-3B,,700.39,72.93,773.33,0.788,122,2,124,1,Yes,yes,Is there a small water area?,4.98,5.16,11.85,55.3,8.30,0.0680,4.1498,0.0669,5630,1977,492,38,0.0012,0,0.000,0
5,Qwen2.5-VL-3B,,750.14,279.01,1029.16,1.045,123,5,128,0,1000,5380,What is the amount of residential buildings?,5.08,5.40,11.79,55.7,11.76,0.0956,2.3519,0.0919,5631,1976,492,130,0.0040,0,0.000,0
6,Qwen2.5-VL-3B,,699.81,73.05,772.85,0.788,120,2,122,1,Yes,yes,Is a building present?,5.01,5.36,11.85,55.4,8.28,0.0690,4.1380,0.0678,5633,1974,492,38,0.0012,0,0.000,0
7,Qwen2.5-VL-3B,,699.88,72.62,772.50,0.789,121,2,123,1,Yes,yes,Is there a residential building?,5.11,5.32,11.92,55.7,8.35,0.0690,4.1730,0.0679,5633,1974,492,36,0.0011,0,0.000,0
8,Qwen2.5-VL-3B,,700.39,211.44,911.82,0.927,125,4,129,0,100,1064,What is the amount of roads in the image?,5.23,5.44,12.04,55.8,10.83,0.0867,2.7083,0.0840,5635,1972,492,130,0.0040,0,0.000,0
9,Qwen2.5-VL-3B,,700.71,72.58,773.28,0.789,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,4.90,5.28,11.65,55.7,8.14,0.0656,4.0684,0.0646,5635,1972,492,41,0.0013,0,0.000,0
10,Qwen2.5-VL-3B,,700.07,73.02,773.09,0.789,120,2,122,1,Yes,yes,Is there a road?,5.10,5.32,11.98,55.7,8.39,0.0699,4.1962,0.0688,5637,1970,492,35,0.0011,0,0.000,0
11,Qwen2.5-VL-3B,,700.10,72.60,772.70,0.788,122,2,124,1,Yes,yes,Are there less roads than buildings?,5.16,5.48,11.97,55.7,8.38,0.0687,4.1918,0.0676,5640,1967,492,37,0.0011,0,0.000,0
12,Qwen2.5-VL-3B,,700.34,72.61,772.96,0.788,124,2,126,1,Yes,yes,Is there a commercial building in the image?,5.18,5.44,11.94,56.2,8.35,0.0674,4.1762,0.0663,5640,1967,492,39,0.0012,0,0.000,0
13,Qwen2.5-VL-3B,,699.55,211.35,910.91,0.926,123,4,127,0,100,258,What is the amount of grass areas?,5.22,5.48,12.00,56.0,10.80,0.0878,2.6990,0.0850,5640,1967,492,128,0.0039,0,0.000,0
14,Qwen2.5-VL-3B,,700.29,72.58,772.86,0.788,122,2,124,1,Yes,yes,Are there more buildings than roads?,4.92,5.48,11.71,56.2,8.17,0.0669,4.0829,0.0659,5640,1967,492,39,0.0012,0,0.000,0
15,Qwen2.5-VL-3B,,756.28,144.03,900.32,0.915,122,3,125,0,10,44,How many village greens are there?,5.02,5.36,11.68,56.1,10.48,0.0859,3.4939,0.0839,5640,1967,492,125,0.0038,0,0.000,0
16,Qwen2.5-VL-3B,,700.57,73.11,773.68,0.789,123,2,125,1,Yes,yes,Are there less grass areas than buildings?,4.78,5.09,11.54,55.9,8.09,0.0658,4.0456,0.0647,5640,1967,492,39,0.0012,0,0.000,0
