question_id,latency_sec,correct,model_response,ground_truth,question_text,avg_cpu_gpu_cv_w,max_cpu_gpu_cv_w,integrated_cpu_gpu_cv_w,avg_vdd_soc_w,max_vdd_soc_w,integrated_vdd_soc_w,avg_vdd_in_w,max_vdd_in_w,integrated_vdd_in_w,max_gpu_temp_c
1,14.372,1,Yes,yes,Is there a water area?,1.26,1.87,1.26,1.80,2.07,1.80,6.52,7.72,6.51,48.7
0,14.821,0,Rural,urban,Is it a rural or an urban area,1.27,1.95,1.27,1.80,2.07,1.80,6.53,7.84,6.53,48.8
3,14.821,0,10,82,What is the number of commercial buildings in the image?,1.27,1.95,1.27,1.80,2.07,1.80,6.54,7.84,6.53,48.8
2,15.224,0,1000,5524,What is the amount of buildings?,1.29,2.15,1.29,1.81,2.19,1.81,6.57,8.44,6.57,48.8
7,8.501,1,Yes,yes,Is there a residential building?,1.73,1.99,1.73,1.95,2.07,1.95,7.30,7.72,7.30,49.3
6,8.946,1,Yes,yes,Is a building present?,1.74,2.07,1.74,1.95,2.07,1.95,7.32,7.85,7.32,49.2
4,8.927,1,Yes,yes,Is there a small water area?,1.74,2.07,1.74,1.95,2.07,1.95,7.32,7.89,7.32,49.3
5,9.513,0,1000,5380,What is the amount of residential buildings?,1.76,2.19,1.76,1.97,2.23,1.97,7.38,8.52,7.38,49.2
11,5.609,1,Yes,yes,Are there less roads than buildings?,1.70,1.87,1.70,1.92,2.07,1.92,7.15,7.68,7.15,49.3
9,8.615,0,Yes,no,Are there more water areas than commercial buildings?,1.75,1.95,1.76,1.96,2.15,1.96,7.31,8.00,7.31,49.6
10,8.819,1,Yes,yes,Is there a road?,1.76,1.95,1.77,1.96,2.15,1.96,7.33,8.00,7.33,49.6
8,9.242,0,100,1064,What is the amount of roads in the image?,1.77,2.07,1.77,1.97,2.19,1.97,7.35,8.20,7.35,49.7
15,8.617,0,10,44,How many village greens are there?,1.75,1.87,1.75,1.95,2.11,1.95,7.30,7.72,7.31,49.9
14,8.602,1,Yes,yes,Are there more buildings than roads?,1.76,1.87,1.76,1.95,2.11,1.95,7.30,7.76,7.31,49.9
12,8.840,1,Yes,yes,Is there a commercial building in the image?,1.76,1.99,1.76,1.96,2.11,1.96,7.31,7.76,7.31,50.0
13,9.167,0,100,258,What is the amount of grass areas?,1.78,2.19,1.78,1.96,2.23,1.96,7.36,8.48,7.36,50.0
