Question ID,Model,Model Load Time (s),Prefill Time (ms),Decode Time (ms),Total Compute Time (ms),Latency (s),Input Tokens,Output Tokens,Total Tokens,Correct,Model Response,Ground Truth,Question,Avg GPU+CPU Power (W),Max GPU+CPU Power (W),Avg Board Power (W),Max GPU Temp (C),Total Energy (J),Energy per Input Token (J),Energy per Output Token (J),Energy per Total Token (J),RAM Used (MB),RAM Free (MB),Swap Used (MB),KV Active Tokens,KV Active Ratio,Prompt Cache Entries,Prompt Cache Size (MB),Prompt Cache Limit (MB)
0,Qwen2.5-VL-3B,43.90,2502.31,226.59,2728.91,2.758,124,2,126,1,Urban,urban,Is it a rural or an urban area,1.92,3.84,7.21,54.4,19.45,0.1569,9.7258,0.1544,5276,2331,447,125,0.0038,0,0.000,0
1,Qwen2.5-VL-3B,,118.50,73.52,192.02,0.208,121,2,123,1,Yes,yes,Is there a water area?,3.36,3.56,9.46,54.7,1.88,0.0155,0.9388,0.0153,5536,2071,471,122,0.0037,0,0.000,0
2,Qwen2.5-VL-3B,,129.03,231.68,360.70,0.377,122,4,126,0,100,5524,What is the amount of buildings?,3.46,3.76,9.52,54.5,2.84,0.0233,0.7097,0.0225,5539,2068,471,127,0.0039,0,0.000,0
3,Qwen2.5-VL-3B,,118.45,73.23,191.68,0.208,126,2,128,0,0,82,What is the number of commercial buildings in the image?,4.05,4.15,10.48,54.6,2.08,0.0165,1.0422,0.0163,5549,2058,471,127,0.0039,0,0.000,0
4,Qwen2.5-VL-3B,,117.30,73.29,190.59,0.206,122,2,124,1,Yes,yes,Is there a small water area?,3.77,3.88,9.98,54.4,1.98,0.0162,0.9909,0.0160,5553,2054,471,123,0.0038,0,0.000,0
5,Qwen2.5-VL-3B,,118.74,280.02,398.76,0.414,123,5,128,0,1000,5380,What is the amount of residential buildings?,3.87,4.46,10.19,55.0,4.05,0.0329,0.8100,0.0316,5556,2051,471,130,0.0040,0,0.000,0
6,Qwen2.5-VL-3B,,106.44,72.93,179.37,0.195,120,2,122,1,Yes,yes,Is a building present?,4.03,4.11,10.44,54.6,1.05,0.0087,0.5226,0.0086,5556,2051,471,121,0.0037,0,0.000,0
7,Qwen2.5-VL-3B,,106.35,72.94,179.29,0.196,121,2,123,1,Yes,yes,Is there a residential building?,4.17,4.22,10.60,54.8,1.06,0.0088,0.5306,0.0086,5558,2049,471,122,0.0037,0,0.000,0
8,Qwen2.5-VL-3B,,117.72,144.17,261.89,0.277,125,3,128,0,10,1064,What is the amount of roads in the image?,4.32,4.38,10.80,55.0,2.15,0.0172,0.7180,0.0168,5561,2046,471,128,0.0039,0,0.000,0
9,Qwen2.5-VL-3B,,117.50,72.95,190.45,0.205,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,4.41,4.62,11.00,55.1,2.19,0.0176,1.0938,0.0174,5561,2046,471,125,0.0038,0,0.000,0
10,Qwen2.5-VL-3B,,106.41,72.95,179.36,0.194,120,2,122,1,Yes,yes,Is there a road?,3.85,3.99,10.15,54.4,1.02,0.0085,0.5082,0.0083,5561,2046,471,121,0.0037,0,0.000,0
11,Qwen2.5-VL-3B,,116.90,73.01,189.92,0.205,122,2,124,1,Yes,yes,Are there less roads than buildings?,4.07,4.18,10.45,54.7,2.08,0.0171,1.0412,0.0168,5561,2046,471,123,0.0038,0,0.000,0
12,Qwen2.5-VL-3B,,117.38,72.96,190.33,0.205,124,2,126,1,Yes,yes,Is there a commercial building in the image?,3.81,3.92,10.06,54.6,2.00,0.0161,1.0002,0.0159,5561,2046,471,125,0.0038,0,0.000,0
13,Qwen2.5-VL-3B,,117.25,212.75,330.00,0.345,123,4,127,0,100,258,What is the amount of grass areas?,3.78,4.15,9.92,55.1,2.95,0.0240,0.7383,0.0233,5561,2046,471,128,0.0039,0,0.000,0
14,Qwen2.5-VL-3B,,116.94,72.96,189.90,0.206,122,2,124,1,Yes,yes,Are there more buildings than roads?,4.12,4.22,10.46,55.0,2.08,0.0171,1.0402,0.0168,5561,2046,471,123,0.0038,0,0.000,0
