Question ID,Model,Model Load Time (s),Prefill Time (ms),Decode Time (ms),Total Compute Time (ms),Latency (s),Input Tokens,Output Tokens,Total Tokens,Correct,Model Response,Ground Truth,Question,Avg GPU+CPU Power (W),Max GPU+CPU Power (W),Avg Board Power (W),Max GPU Temp (C),Total Energy (J),Energy per Input Token (J),Energy per Output Token (J),Energy per Total Token (J),RAM Used (MB),RAM Free (MB),Swap Used (MB),KV Active Tokens,KV Active Ratio,Prompt Cache Entries,Prompt Cache Size (MB),Prompt Cache Limit (MB)
0,Qwen2.5-VL-3B,43.46,2663.67,207.91,2871.58,2.901,124,3,127,0,Rural,urban,Is it a rural or an urban area,1.92,4.55,7.18,50.2,20.05,0.1617,6.6828,0.1579,5255,2352,463,127,0.0039,0,0.000,4096
1,Qwen2.5-VL-3B,,715.66,73.43,789.09,0.811,121,2,123,1,Yes,yes,Is there a water area?,4.64,5.17,11.31,50.5,9.06,0.0749,4.5318,0.0737,5535,2072,470,37,0.0011,1,4.433,4096
2,Qwen2.5-VL-3B,,733.69,279.83,1013.52,1.034,122,5,127,0,1000,5524,What is the amount of buildings?,4.62,5.25,11.20,50.7,11.20,0.0918,2.2397,0.0882,5606,2001,471,129,0.0039,2,8.725,4096
3,Qwen2.5-VL-3B,,701.50,144.22,845.72,0.866,126,3,129,0,10,82,What is the number of commercial buildings in the image?,4.87,5.29,11.62,51.3,9.26,0.0735,3.0851,0.0717,5618,1989,471,129,0.0039,3,13.158,4096
4,Qwen2.5-VL-3B,,700.37,73.05,773.42,0.794,122,2,124,1,Yes,yes,Is there a small water area?,5.01,5.33,11.80,51.3,8.24,0.0676,4.1218,0.0665,5628,1979,471,38,0.0012,4,17.661,4096
5,Qwen2.5-VL-3B,,731.83,279.40,1011.23,1.032,123,5,128,0,1000,5380,What is the amount of residential buildings?,5.07,5.41,11.90,51.5,11.88,0.0966,2.3770,0.0929,5633,1974,471,130,0.0040,5,21.989,4096
6,Qwen2.5-VL-3B,,699.21,72.78,771.99,0.792,120,2,122,1,Yes,yes,Is a building present?,4.86,5.41,11.67,51.3,8.13,0.0677,4.0644,0.0666,5638,1969,486,38,0.0012,6,26.457,4096
7,Qwen2.5-VL-3B,,698.53,72.80,771.33,0.791,121,2,123,1,Yes,yes,Is there a residential building?,5.11,5.37,11.88,51.4,8.31,0.0687,4.1566,0.0676,5643,1964,486,36,0.0011,7,30.714,4096
8,Qwen2.5-VL-3B,,700.40,211.56,911.96,0.931,125,4,129,0,100,1064,What is the amount of roads in the image?,5.18,5.45,12.02,51.5,10.81,0.0865,2.7016,0.0838,5647,1960,486,130,0.0040,8,35.006,4096
9,Qwen2.5-VL-3B,,700.69,73.09,773.78,0.793,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,4.87,5.41,11.66,51.6,8.13,0.0656,4.0644,0.0645,5652,1955,486,41,0.0013,9,39.510,4096
10,Qwen2.5-VL-3B,,699.56,73.10,772.66,0.793,120,2,122,1,Yes,yes,Is there a road?,5.06,5.29,11.86,51.9,8.31,0.0692,4.1527,0.0681,5660,1947,486,35,0.0011,10,43.907,4096
11,Qwen2.5-VL-3B,,700.10,72.72,772.81,0.794,122,2,124,1,Yes,yes,Are there less roads than buildings?,5.12,5.41,11.94,52.1,8.35,0.0685,4.1769,0.0674,5664,1943,486,37,0.0011,11,48.164,4096
12,Qwen2.5-VL-3B,,701.02,72.84,773.86,0.794,124,2,126,1,Yes,yes,Is there a commercial building in the image?,5.09,5.37,11.95,52.0,8.37,0.0675,4.1838,0.0664,5673,1934,486,39,0.0012,12,52.492,4096
13,Qwen2.5-VL-3B,,699.80,211.69,911.49,0.932,123,4,127,0,100,258,What is the amount of grass areas?,5.34,5.57,12.09,52.0,10.88,0.0885,2.7212,0.0857,5677,1930,508,128,0.0039,13,56.890,4096
14,Qwen2.5-VL-3B,,699.58,72.73,772.31,0.792,122,2,124,1,Yes,yes,Are there more buildings than roads?,4.88,5.33,11.61,52.1,8.10,0.0664,4.0476,0.0653,5676,1931,545,39,0.0012,14,61.322,4096
15,Qwen2.5-VL-3B,,716.42,144.91,861.33,0.881,122,3,125,0,10,44,How many village greens are there?,5.07,5.41,11.84,52.1,9.46,0.0775,3.1532,0.0757,5679,1928,545,125,0.0038,15,65.650,4096
16,Qwen2.5-VL-3B,,700.30,73.04,773.34,0.793,123,2,125,1,Yes,yes,Are there less grass areas than buildings?,4.99,5.21,11.84,52.2,8.29,0.0674,4.1440,0.0663,5684,1923,545,39,0.0012,16,70.012,4096
17,Qwen2.5-VL-3B,,700.42,211.72,912.14,0.932,123,4,127,0,100,19,How many medium residential buildings are there?,5.19,5.41,11.96,52.7,10.75,0.0874,2.6886,0.0847,5692,1915,545,128,0.0039,17,74.375,4096
18,Qwen2.5-VL-3B,,708.70,72.74,781.44,0.801,125,2,127,1,Yes,yes,Is a circular grass area present in the image?,4.81,5.25,11.62,52.7,8.11,0.0648,4.0526,0.0638,5697,1910,545,42,0.0013,18,78.808,4096
