Question ID,Model,Model Load Time (s),Prefill Time (ms),Decode Time (ms),Total Compute Time (ms),Latency (s),Input Tokens,Output Tokens,Total Tokens,Correct,Model Response,Ground Truth,Question,Avg GPU+CPU Power (W),Max GPU+CPU Power (W),Avg Board Power (W),Max GPU Temp (C),Total Energy (J),Energy per Input Token (J),Energy per Output Token (J),Energy per Total Token (J),RAM Used (MB),RAM Free (MB),Swap Used (MB),KV Active Tokens,KV Active Ratio,Prompt Cache Entries,Prompt Cache Size (MB),Prompt Cache Limit (MB)
0,Qwen2.5-VL-3B,45.05,2555.77,194.15,2749.92,2.793,124,2,126,1,Urban,urban,Is it a rural or an urban area,1.92,4.11,7.22,53.5,19.43,0.1567,9.7161,0.1542,5297,2310,421,125,0.0038,0,0.000,0
1,Qwen2.5-VL-3B,,108.49,73.44,181.94,0.198,121,2,123,1,Yes,yes,Is there a water area?,3.58,3.68,9.82,53.3,0.98,0.0081,0.4917,0.0080,5551,2056,505,122,0.0037,0,0.000,0
2,Qwen2.5-VL-3B,,158.84,237.62,396.47,0.412,122,4,126,0,100,5524,What is the amount of buildings?,3.88,4.18,10.30,53.5,4.11,0.0337,1.0274,0.0326,5556,2051,505,127,0.0039,0,0.000,0
3,Qwen2.5-VL-3B,,117.66,73.48,191.14,0.206,126,2,128,0,0,82,What is the number of commercial buildings in the image?,3.98,4.11,10.41,53.5,2.07,0.0164,1.0361,0.0162,5564,2043,511,127,0.0039,0,0.000,0
4,Qwen2.5-VL-3B,,117.94,72.99,190.93,0.207,122,2,124,1,Yes,yes,Is there a small water area?,3.74,3.92,9.92,53.3,1.97,0.0162,0.9863,0.0159,5561,2046,514,123,0.0038,0,0.000,0
5,Qwen2.5-VL-3B,,158.86,279.86,438.72,0.454,123,5,128,0,1000,5380,What is the amount of residential buildings?,3.67,4.22,9.85,53.9,3.90,0.0317,0.7805,0.0305,5564,2043,514,130,0.0040,0,0.000,0
6,Qwen2.5-VL-3B,,106.45,72.99,179.44,0.195,120,2,122,1,Yes,yes,Is a building present?,4.13,4.26,10.66,53.5,1.07,0.0089,0.5336,0.0087,5569,2038,514,121,0.0037,0,0.000,0
7,Qwen2.5-VL-3B,,106.42,72.99,179.41,0.194,121,2,123,1,Yes,yes,Is there a residential building?,4.17,4.22,10.79,53.8,1.08,0.0089,0.5405,0.0088,5569,2038,514,122,0.0037,0,0.000,0
8,Qwen2.5-VL-3B,,117.72,144.24,261.96,0.277,125,3,128,0,10,1064,What is the amount of roads in the image?,4.26,4.34,10.93,53.7,2.18,0.0175,0.7272,0.0170,5569,2038,514,128,0.0039,0,0.000,0
9,Qwen2.5-VL-3B,,117.43,72.96,190.39,0.206,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,4.40,4.58,11.11,53.9,2.21,0.0178,1.1047,0.0175,5569,2038,514,125,0.0038,0,0.000,0
10,Qwen2.5-VL-3B,,106.44,73.08,179.53,0.195,120,2,122,1,Yes,yes,Is there a road?,3.92,4.07,10.29,53.8,1.03,0.0086,0.5151,0.0084,5571,2036,514,121,0.0037,0,0.000,0
11,Qwen2.5-VL-3B,,116.89,73.01,189.90,0.206,122,2,124,1,Yes,yes,Are there less roads than buildings?,4.06,4.15,10.43,54.1,2.08,0.0171,1.0413,0.0168,5574,2033,514,123,0.0038,0,0.000,0
