question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_cache_usage_ratio,kv_cache_tokens
0,Qwen2.5-VL-3B,65.52,3524.79,227.85,3752.64,3.790,124,3,127,0,Rural,urban,Is it a rural or an urban area,1.28,5.21,6.37,51.1,23.41,0.1888,7.8028,0.1843,5535,2085,16,0.0000,0
1,Qwen2.5-VL-3B,,575.51,55.99,631.50,0.661,121,2,123,1,Yes,yes,Is there a water area?,5.35,6.38,12.02,51.7,7.19,0.0595,3.5969,0.0585,5791,1829,18,0.0000,0
2,Qwen2.5-VL-3B,,577.20,294.39,871.59,0.900,122,5,127,0,1000,5524,What is the amount of buildings?,6.97,7.27,14.51,52.3,11.65,0.0955,2.3293,0.0917,5935,1685,18,0.0000,0
3,Qwen2.5-VL-3B,,653.20,144.11,797.31,0.823,126,3,129,0,10,82,What is the number of commercial buildings in the image?,6.52,6.84,14.79,52.3,11.85,0.0941,3.9513,0.0919,5945,1675,18,0.0000,0
4,Qwen2.5-VL-3B,,596.49,68.32,664.81,0.693,122,2,124,1,Yes,yes,Is there a small water area?,6.31,6.72,14.40,52.4,8.61,0.0706,4.3037,0.0694,5953,1667,18,0.0000,0
5,Qwen2.5-VL-3B,,653.71,289.28,942.99,0.970,123,5,128,0,1000,5380,What is the amount of residential buildings?,6.53,6.80,14.77,52.9,13.30,0.1082,2.6610,0.1039,5961,1659,19,0.0000,0
6,Qwen2.5-VL-3B,,633.69,77.54,711.23,0.737,120,2,122,1,Yes,yes,Is a building present?,6.23,6.56,14.74,52.9,10.35,0.0863,5.1750,0.0848,5967,1653,19,0.0000,0
7,Qwen2.5-VL-3B,,601.87,78.65,680.52,0.715,121,2,123,1,Yes,yes,Is there a residential building?,6.28,6.60,14.48,53.1,10.11,0.0836,5.0564,0.0822,5971,1649,19,0.0000,0
8,Qwen2.5-VL-3B,,585.95,228.97,814.92,0.844,125,4,129,0,100,1064,What is the amount of roads in the image?,6.33,6.76,14.43,53.3,11.57,0.0926,2.8922,0.0897,5977,1643,19,0.0000,0
9,Qwen2.5-VL-3B,,606.11,77.21,683.32,0.710,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,6.27,6.64,14.54,53.4,10.17,0.0820,5.0846,0.0807,5980,1640,19,0.0000,0
10,Qwen2.5-VL-3B,,583.86,76.66,660.52,0.687,120,2,122,1,Yes,yes,Is there a road?,6.23,6.76,14.27,53.7,8.56,0.0713,4.2799,0.0702,5988,1632,19,0.0000,0
11,Qwen2.5-VL-3B,,638.96,77.26,716.22,0.747,122,2,124,1,Yes,yes,Are there less roads than buildings?,6.37,6.60,14.77,53.4,10.35,0.0849,5.1759,0.0835,5994,1626,19,0.0000,0
12,Qwen2.5-VL-3B,,605.81,77.10,682.91,0.712,124,2,126,1,Yes,yes,Is there a commercial building in the image?,6.30,6.64,14.55,53.8,10.17,0.0820,5.0867,0.0807,6000,1620,19,0.0000,0
13,Qwen2.5-VL-3B,,587.08,229.82,816.89,0.843,123,4,127,0,100,258,What is the amount of grass areas?,6.30,6.75,14.40,53.9,11.56,0.0939,2.8889,0.0910,6003,1617,22,0.0000,0
14,Qwen2.5-VL-3B,,620.01,66.79,686.79,0.711,122,2,124,1,Yes,yes,Are there more buildings than roads?,6.27,6.64,14.57,53.8,10.19,0.0835,5.0934,0.0822,6008,1612,22,0.0000,0
15,Qwen2.5-VL-3B,,587.61,143.91,731.52,0.762,122,3,125,0,10,44,How many village greens are there?,6.31,6.75,14.32,54.2,10.02,0.0821,3.3401,0.0802,6012,1608,22,0.0000,0
16,Qwen2.5-VL-3B,,622.82,76.96,699.78,0.724,123,2,125,1,Yes,yes,Are there less grass areas than buildings?,6.41,6.68,14.68,54.2,10.29,0.0837,5.1454,0.0823,6017,1603,22,0.0000,0
17,Qwen2.5-VL-3B,,591.88,230.39,822.28,0.849,123,4,127,0,100,19,How many medium residential buildings are there?,6.34,6.67,14.48,54.2,11.58,0.0941,2.8938,0.0911,6025,1595,23,0.0000,0
18,Qwen2.5-VL-3B,,613.26,77.45,690.70,0.717,125,2,127,1,Yes,yes,Is a circular grass area present in the image?,6.27,6.60,14.59,54.6,10.23,0.0818,5.1131,0.0805,6031,1589,23,0.0000,0
19,Qwen2.5-VL-3B,,583.64,77.64,661.28,0.693,123,2,125,0,2,27,What is the amount of pitchs?,6.21,6.67,14.30,54.5,8.54,0.0694,4.2695,0.0683,6034,1586,23,0.0000,0
20,Qwen2.5-VL-3B,,635.40,77.14,712.54,0.740,121,2,123,1,Yes,yes,Is there a village green?,6.45,6.67,14.73,54.5,10.32,0.0853,5.1597,0.0839,6041,1579,23,0.0000,0
