question_id,latency_sec,correct,model_response,ground_truth,question_text,avg_cpu_gpu_cv_w,max_cpu_gpu_cv_w,integrated_cpu_gpu_cv_w,avg_vdd_soc_w,max_vdd_soc_w,integrated_vdd_soc_w,avg_vdd_in_w,max_vdd_in_w,integrated_vdd_in_w,max_gpu_temp_c
0,25.315,1,Urban,urban,Is it a rural or an urban area,0.70,1.95,0.70,1.65,2.03,1.65,5.69,7.80,5.69,48.4
1,11.466,1,Yes,yes,Is there a water area?,0.92,1.95,0.92,1.71,2.03,1.71,6.06,7.52,6.05,48.5
2,10.148,0,100,5524,What is the amount of buildings?,1.13,2.03,1.13,1.77,2.11,1.77,6.44,7.89,6.44,48.9
3,10.473,0,10,82,What is the number of commercial buildings in the image?,1.06,1.95,1.04,1.75,2.03,1.75,6.28,7.62,6.26,48.9
4,10.634,1,Yes,yes,Is there a small water area?,1.00,1.95,1.00,1.72,2.03,1.72,6.16,7.64,6.16,49.1
5,13.871,0,1000,5380,What is the amount of residential buildings?,0.98,1.95,0.96,1.73,2.19,1.73,6.13,8.09,6.13,49.3
6,18.735,1,Yes,yes,Is a building present?,0.72,1.95,0.68,1.47,2.03,1.39,5.17,7.56,4.88,49.4
7,12.168,1,Yes,yes,Is there a residential building?,0.94,1.95,0.91,1.70,2.03,1.69,6.04,7.78,6.01,49.3
8,12.585,0,Many,1064,What is the amount of roads in the image?,0.88,1.95,0.88,1.70,2.03,1.70,5.96,7.64,5.96,49.4
9,10.289,0,Yes,no,Are there more water areas than commercial buildings?,1.04,1.95,1.02,1.73,2.07,1.73,6.23,7.88,6.21,49.5
10,13.484,1,Yes,yes,Is there a road?,0.92,1.95,0.92,1.67,2.03,1.68,5.98,7.68,5.99,49.5
11,10.430,0,No,yes,Are there less roads than buildings?,0.98,1.91,0.97,1.72,2.03,1.71,6.14,7.64,6.12,49.6
12,13.108,1,Yes,yes,Is there a commercial building in the image?,0.91,1.95,0.89,1.70,2.03,1.70,6.05,7.60,6.03,49.6
13,12.201,0,10,258,What is the amount of grass areas?,0.97,2.03,0.94,1.73,2.11,1.72,6.13,7.97,6.09,49.7
14,12.485,0,No,yes,Are there more buildings than roads?,0.90,2.03,0.90,1.70,2.03,1.70,6.02,7.68,6.00,49.6
15,12.195,0,4,44,How many village greens are there?,0.95,1.95,0.95,1.70,2.07,1.70,6.05,7.96,6.04,49.8
16,10.561,0,No,yes,Are there less grass areas than buildings?,1.02,1.99,1.00,1.73,2.03,1.73,6.18,7.60,6.16,49.8
17,13.296,0,100,19,How many medium residential buildings are there?,0.98,1.99,0.96,1.73,2.15,1.72,6.18,8.17,6.15,49.8
18,12.743,1,Yes,yes,Is a circular grass area present in the image?,0.88,1.95,0.87,1.70,2.03,1.70,5.98,7.92,5.96,49.9
19,13.012,0,0,27,What is the amount of pitchs?,0.88,1.95,0.86,1.69,2.03,1.69,5.99,7.78,5.97,49.8
20,13.691,1,Yes,yes,Is there a village green?,0.86,1.87,0.85,1.69,2.03,1.69,5.96,7.62,5.95,49.8
21,11.948,1,Yes,yes,Is a large commercial building present in the image?,0.97,1.95,0.95,1.71,2.03,1.71,6.11,7.68,6.09,49.9
22,11.558,0,3,42,What is the number of water areas?,0.92,1.87,0.92,1.69,2.03,1.70,6.02,7.50,6.02,49.9
23,16.301,1,No,no,Is the number of buildings equal to the number of water areas?,0.79,1.95,0.78,1.67,2.03,1.67,5.82,7.68,5.81,49.8
24,10.977,1,Yes,yes,Is there a small road?,0.97,1.95,0.97,1.72,1.99,1.71,6.14,7.48,6.13,49.9
25,11.299,1,No,no,Is there a rectangular road?,0.95,1.95,0.97,1.72,2.03,1.72,6.09,7.50,6.12,49.9
26,11.197,0,10,1064,How many small roads are there?,1.02,1.99,1.02,1.74,2.03,1.73,6.23,7.80,6.22,50.0
27,11.011,1,No,no,Is the number of residential buildings equal to the number of medium roads?,0.99,1.99,0.98,1.72,2.03,1.72,6.18,7.68,6.16,50.0
28,9.822,1,Yes,yes,Are there more roads than rectangular water areas?,1.02,1.95,1.00,1.73,2.03,1.73,6.20,7.48,6.17,50.0
29,15.947,0,1,2,How many circular residential buildings are there?,0.80,1.95,0.79,1.67,2.07,1.67,5.85,7.80,5.83,50.0
30,14.927,1,Yes,yes,Is there a grass area?,0.82,1.95,0.82,1.67,1.99,1.68,5.88,7.60,5.89,50.0
31,13.272,0,10%,117,What is the amount of forests?,0.95,1.99,0.94,1.73,2.11,1.73,6.15,7.85,6.13,49.9
32,14.250,0,2,19,How many rectangular commercial buildings are there?,0.86,1.95,0.85,1.69,2.03,1.69,5.98,7.72,5.96,50.0
33,12.633,1,Yes,yes,Is a forest present?,0.91,1.95,0.90,1.70,2.03,1.70,6.03,7.72,6.02,49.9
34,16.231,0,10,498,How many farmlands are there?,0.87,1.95,0.86,1.70,2.03,1.69,5.98,7.76,5.97,49.9
35,12.938,1,No,no,Are there less buildings than grass areas in the image?,0.91,1.83,0.90,1.70,2.03,1.70,6.05,7.52,6.04,49.9
36,13.006,1,Yes,yes,Is a rectangular water area present?,0.89,1.99,0.88,1.70,2.03,1.70,6.00,7.56,5.99,49.9
37,10.594,0,10,104,What is the number of small grass areas?,1.09,1.95,1.08,1.74,2.03,1.74,6.32,7.92,6.32,50.0
38,15.735,1,Yes,yes,Is there a circular parking?,0.80,1.91,0.79,1.67,2.03,1.67,5.81,7.52,5.81,50.1
39,14.978,0,No,yes,Are there less roads than residential buildings?,0.88,1.95,0.86,1.69,2.03,1.69,5.99,7.52,5.96,49.9
40,11.517,0,10,3,What is the amount of square grass areas?,0.98,1.95,0.97,1.73,2.03,1.73,6.17,7.72,6.15,50.0
41,13.206,1,No,no,Are there more commercial buildings than roads?,0.90,1.95,0.90,1.70,2.03,1.70,6.00,7.60,5.99,50.1
42,11.330,1,Yes,yes,Is a small building present?,0.95,1.95,0.94,1.71,2.03,1.71,6.07,7.56,6.05,50.1
43,12.412,1,Yes,yes,Is there a parking?,0.89,1.95,0.87,1.70,2.03,1.69,5.98,7.60,5.95,49.8
44,10.067,1,2,2,How many large commercial buildings are there?,1.01,1.95,0.98,1.72,2.03,1.72,6.17,7.72,6.13,49.9
45,12.123,0,No,yes,Are there more commercial buildings than residential areas?,0.91,1.95,0.91,1.70,2.03,1.70,6.02,7.52,6.01,49.9
46,10.606,1,No,no,Are there more commercial buildings than forests in the image?,0.99,2.03,0.97,1.72,2.03,1.71,6.17,7.64,6.13,50.0
47,12.078,0,3,0,What is the amount of circular roads?,0.90,1.95,0.90,1.70,2.03,1.70,5.99,7.66,5.99,49.9
48,11.560,1,No,no,Is the number of residential buildings equal to the number of roads?,0.94,2.07,0.94,1.70,2.03,1.70,6.09,7.66,6.08,50.0
49,11.860,1,No,no,Is there a square road?,0.93,1.95,0.93,1.71,2.03,1.71,6.09,7.64,6.10,50.0
50,12.129,0,No,yes,Are there less commercial buildings than farmlands?,0.91,1.95,0.90,1.70,1.99,1.70,6.02,7.52,6.00,50.0
51,15.596,1,Yes,yes,Is there a small residential building in the image?,0.86,2.07,0.85,1.69,2.03,1.68,5.97,7.78,5.95,50.0
52,13.591,0,No,yes,Are there less grass areas than roads?,0.86,1.95,0.85,1.70,2.03,1.69,5.94,7.68,5.93,50.0
53,9.488,0,Yes,no,Is a large road present?,1.02,1.95,1.02,1.74,2.03,1.73,6.21,7.52,6.20,49.9
54,13.125,1,No,no,Is the number of buildings equal to the number of roads?,0.90,1.95,0.90,1.68,2.03,1.68,5.95,7.76,5.97,50.0
55,13.448,0,10,72,What is the number of small commercial buildings?,0.90,1.99,0.89,1.71,2.11,1.70,5.99,7.97,5.98,50.0
56,15.130,0,100,2,What is the amount of square residential buildings?,0.94,2.03,0.91,1.72,2.15,1.71,6.11,8.09,6.07,50.0
57,10.277,0,No,yes,Are there less parkings than residential buildings?,1.00,1.99,0.99,1.73,2.03,1.73,6.19,7.64,6.18,50.0
58,10.478,1,Yes,yes,Is there a farmland in the image?,0.98,1.95,0.98,1.71,2.03,1.71,6.11,7.68,6.13,50.0
