question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_cache_usage_ratio,kv_cache_tokens,prompt_cache_mb
0,Qwen2.5-VL-3B,64.12,2564.49,203.86,2768.35,2.797,124,3,127,0,Rural,urban,Is it a rural or an urban area,1.94,4.51,7.21,52.4,19.39,0.1564,6.4638,0.1527,5179,2428,402,0.0000,0,0.00
1,Qwen2.5-VL-3B,,723.88,72.63,796.50,0.811,121,2,123,1,Yes,yes,Is there a water area?,4.71,5.21,11.35,52.6,9.10,0.0752,4.5505,0.0740,5466,2141,402,0.0000,0,0.00
2,Qwen2.5-VL-3B,,707.32,279.33,986.65,1.002,122,5,127,0,1000,5524,What is the amount of buildings?,4.90,5.32,11.62,52.6,11.58,0.0950,2.3168,0.0912,5533,2074,402,0.0000,0,0.00
3,Qwen2.5-VL-3B,,700.75,143.58,844.33,0.860,126,3,129,0,10,82,What is the number of commercial buildings in the image?,4.84,5.28,11.58,52.7,9.25,0.0734,3.0817,0.0717,5536,2071,402,0.0000,0,0.00
4,Qwen2.5-VL-3B,,699.42,72.58,772.00,0.786,122,2,124,1,Yes,yes,Is there a small water area?,4.95,5.17,11.76,53.2,8.24,0.0675,4.1202,0.0665,5541,2066,402,0.0000,0,0.00
5,Qwen2.5-VL-3B,,699.90,278.92,978.82,0.993,123,5,128,0,1000,5380,What is the amount of residential buildings?,5.18,5.40,12.06,53.2,10.85,0.0882,2.1704,0.0848,5541,2066,402,0.0000,0,0.00
6,Qwen2.5-VL-3B,,698.50,72.15,770.66,0.785,120,2,122,1,Yes,yes,Is a building present?,5.18,5.40,12.28,53.3,8.60,0.0717,4.3000,0.0705,5541,2066,402,0.0000,0,0.00
7,Qwen2.5-VL-3B,,699.17,72.66,771.83,0.786,121,2,123,1,Yes,yes,Is there a residential building?,5.16,5.44,12.04,53.2,8.43,0.0697,4.2165,0.0686,5541,2066,402,0.0000,0,0.00
8,Qwen2.5-VL-3B,,707.72,210.61,918.33,0.932,125,4,129,0,100,1064,What is the amount of roads in the image?,5.19,5.44,12.03,53.4,10.82,0.0866,2.7054,0.0839,5541,2066,402,0.0000,0,0.00
9,Qwen2.5-VL-3B,,700.34,72.25,772.59,0.787,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,4.90,5.13,11.75,53.2,8.23,0.0664,4.1174,0.0654,5541,2066,402,0.0000,0,0.00
10,Qwen2.5-VL-3B,,699.29,72.12,771.41,0.785,120,2,122,1,Yes,yes,Is there a road?,5.13,5.36,12.04,53.4,8.44,0.0703,4.2185,0.0692,5541,2066,402,0.0000,0,0.00
11,Qwen2.5-VL-3B,,699.25,72.19,771.44,0.785,122,2,124,1,Yes,yes,Are there less roads than buildings?,5.17,5.40,12.08,53.6,8.45,0.0693,4.2272,0.0682,5541,2066,402,0.0000,0,0.00
