question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_n_past,kv_n_ctx,kv_peak_occupancy
0,Qwen2.5-VL-3B,64.73,3368.18,258.24,3626.42,3.671,124,3,127,0,Rural,urban,Is it a rural or an urban area,1.37,5.56,6.50,51.2,23.29,0.1878,7.7630,0.1834,5356,2264,238,0,8192,0.0
1,Qwen2.5-VL-3B,,590.04,56.86,646.90,0.674,121,2,123,1,Yes,yes,Is there a water area?,4.87,6.61,11.37,51.4,6.75,0.0558,3.3762,0.0549,5609,2011,244,0,8192,0.0
2,Qwen2.5-VL-3B,,573.23,298.82,872.05,0.902,122,5,127,0,1000,5524,What is the amount of buildings?,6.98,7.31,14.47,51.6,11.60,0.0951,2.3206,0.0914,5752,1868,244,0,8192,0.0
3,Qwen2.5-VL-3B,,576.75,143.75,720.50,0.748,126,3,129,0,10,82,What is the number of commercial buildings in the image?,6.33,6.96,14.30,51.9,9.99,0.0793,3.3303,0.0774,5763,1857,244,0,8192,0.0
4,Qwen2.5-VL-3B,,578.39,65.55,643.94,0.672,122,2,124,1,Yes,yes,Is there a small water area?,6.33,6.71,14.29,51.8,8.54,0.0700,4.2717,0.0689,5775,1845,244,0,8192,0.0
5,Qwen2.5-VL-3B,,650.03,294.89,944.92,0.974,123,5,128,0,1000,5380,What is the amount of residential buildings?,6.52,6.92,14.54,52.2,13.08,0.1063,2.6153,0.1022,5780,1840,244,0,8192,0.0
6,Qwen2.5-VL-3B,,580.26,63.17,643.43,0.671,120,2,122,1,Yes,yes,Is a building present?,6.08,6.71,14.13,52.1,8.45,0.0704,4.2261,0.0693,5786,1834,244,0,8192,0.0
7,Qwen2.5-VL-3B,,617.48,77.55,695.03,0.723,121,2,123,1,Yes,yes,Is there a residential building?,6.58,6.80,14.61,52.3,10.23,0.0845,5.1145,0.0832,5791,1829,244,0,8192,0.0
8,Qwen2.5-VL-3B,,583.88,231.41,815.29,0.845,125,4,129,0,100,1064,What is the amount of roads in the image?,6.40,6.83,14.35,52.5,11.51,0.0921,2.8782,0.0892,5798,1822,244,0,8192,0.0
9,Qwen2.5-VL-3B,,577.54,68.50,646.04,0.676,124,2,126,0,Yes,no,Are there more water areas than commercial buildings?,6.07,6.75,14.06,52.5,8.44,0.0680,4.2178,0.0669,5804,1816,244,0,8192,0.0
10,Qwen2.5-VL-3B,,629.02,65.28,694.30,0.719,120,2,122,1,Yes,yes,Is there a road?,6.52,6.72,14.74,52.8,10.34,0.0862,5.1693,0.0847,5813,1807,244,0,8192,0.0
11,Qwen2.5-VL-3B,,589.88,66.42,656.31,0.681,122,2,124,1,Yes,yes,Are there less roads than buildings?,6.35,6.80,14.30,52.8,8.55,0.0701,4.2755,0.0690,5816,1804,244,0,8192,0.0
12,Qwen2.5-VL-3B,,640.57,76.94,717.51,0.745,124,2,126,1,Yes,yes,Is there a commercial building in the image?,6.46,6.76,14.71,52.9,10.31,0.0831,5.1539,0.0818,5824,1796,244,0,8192,0.0
13,Qwen2.5-VL-3B,,583.54,217.77,801.31,0.829,123,4,127,0,100,258,What is the amount of grass areas?,6.31,6.76,14.36,53.2,11.49,0.0934,2.8731,0.0905,5830,1790,244,0,8192,0.0
14,Qwen2.5-VL-3B,,574.13,77.02,651.15,0.676,122,2,124,1,Yes,yes,Are there more buildings than roads?,6.10,6.75,14.05,53.2,8.42,0.0690,4.2117,0.0679,5837,1783,244,0,8192,0.0
15,Qwen2.5-VL-3B,,570.84,142.49,713.33,0.743,122,3,125,0,10,44,How many village greens are there?,6.24,6.79,14.19,53.2,10.01,0.0820,3.3362,0.0801,5839,1781,244,0,8192,0.0
16,Qwen2.5-VL-3B,,588.22,77.05,665.27,0.691,123,2,125,1,Yes,yes,Are there less grass areas than buildings?,6.24,6.63,14.31,53.4,8.62,0.0701,4.3092,0.0689,5845,1775,246,0,8192,0.0
17,Qwen2.5-VL-3B,,635.35,229.81,865.16,0.894,123,4,127,0,100,19,How many medium residential buildings are there?,6.46,6.71,14.72,53.7,11.79,0.0959,2.9483,0.0929,5850,1770,246,0,8192,0.0
